Notes: perfectly expected behaviour.
* messages are in order within the qos band, even if slightly shuffled compared
  to original publish order.  (totally correct behaviour)
* all messages are received!
* cpu usage stays low, and doesn't increase over time on either broker or client


batch:msg=[004956:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:12]-local/dev-12-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:13]-local/dev-13-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:14]-local/dev-14-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004956:15]-local/dev-15-Published: Mon, 03 Dec 2012 17:27:40 +0000
batch:msg=[004958:01]-local/dev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004959:01]-power/bridgeddev-1-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:02]-local/dev-2-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:03]-local/dev-3-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:04]-local/dev-4-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:05]-local/dev-5-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:06]-local/dev-6-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:07]-local/dev-7-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:08]-local/dev-8-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:09]-local/dev-9-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:10]-local/dev-10-Published: Mon, 03 Dec 2012 17:27:41 +0000
batch:msg=[004958:11]-local/dev-11-Published: Mon, 03 Dec 2012 17:27:41 +0000
